title,type,organizer,location,deadline,source_url,source_name,funding_range,startup_stage,remote_or_onsite
Creator Colosseum Startup Competition: Student Founders. Real Startups.,Competition,Creator Colosseum,Remote,2026-06-18,https://creatorcolosseum.devpost.com/?ref_feature=challenge&ref_medium=discover,Devpost,Unknown,Unknown,Unknown
Beyond Tomorrow Summit,Competition,beyond Tomorrow Summit,Remote,2026-06-05,https://beyond-tomorrow-summit.devpost.com/?ref_feature=challenge&ref_medium=discover,Devpost,Unknown,Unknown,Unknown
AI Forecasting Hackathon,Competition,Prophet Arena Team,Remote,,https://prophethacks.devpost.com/?ref_feature=challenge&ref_medium=discover,Devpost,Unknown,Unknown,Unknown
UOE Summer of Code,Competition,UOE CS Team,Remote,,https://uoe-summer-of-code.devpost.com/?ref_feature=challenge&ref_medium=discover,Devpost,Unknown,Unknown,Unknown
Hack the Tech,Competition,College of Engineering,Remote,,https://hack-the-tech.devpost.com/?ref_feature=challenge&ref_medium=discover,Devpost,Unknown,Unknown,Unknown
757 BLD WKND 2026 2.0,Competition,Drexel IEEE,"Assembly Building, Drexel IEEE, Beginner Friendly, Mobile, Web",,https://757-bld-wknd-2026-2-0.devpost.com/?ref_feature=challenge&ref_medium=discover,Devpost,Unknown,Unknown,Unknown
Ventura Challenge,Competition,Student Council,Remote,2026-07-15,https://ventura-challenge.devpost.com/?ref_feature=challenge&ref_medium=discover,Devpost,Unknown,Unknown,Unknown
Youth Code x AI,Competition,Youth Code Foundation,Remote,,https://youth-code-x-ai-29376.devpost.com/?ref_feature=challenge&ref_medium=discover,Devpost,Unknown,Unknown,Unknown
